1,1,2020-001,20531A000/00010/UT/2020,09/01/2020,"BAJO LA LEY DE PROTECCIÓN DE DATOS PERSONALES DEL ESTADO DE MÉXICO, SOLICITA LA ACTUALIZACIÓN DE LAS BASES DE DATOS Y EL DOCUMENTO DE SEGURIDAD, CORRESPONDIENTES AL PRIMER SEMESTRE 2020, ESPECIFICANDO CON LAPICERO ROJO, A MANO LAS MODIFICACIONES A LAS CEDULAS Y A LOS ANEXOS CORRESPONDIENTES",01/01/2021 22:02,01/01/2021 22:02
2,2,2020-002,21000007000100S/005/2020,13/01/2020,"SOLICITA DESIGNAR AL RESPONSABLE DE MEJORA REGULATORIA DE LA DIRECCIÓN DE APOYO A LA VINCULACIÓN, PARA ASISTIR A LA CAPACITACIÓN E INDUCCIÓN POR PARTE DE LA COMISIÓN ESTATAL DE MEJORA REGULATORIA",02/01/2021 22:02,02/01/2021 22:02
3,3,2020-003,21014002000000L/0011/2020,13/01/2020,"EN EL MARCO DEL PROGRAMA BECAS VIAJES AL EXTRANJERO, REMITE EL LISTADO DE LOS CHEQUES CORRESPONDIENTES A LOS ESTUDIANTES BECADOS A LA UNIVERSIDAD POLITÉCNICA DE MADRID, ESPAÑA ",03/01/2021 22:02,03/01/2021 22:02
4,4,2020-004,21014001A000000/0006/2020,13/01/2020,"SOLICITA REMITIR EL PROYECTO DEL PROGRAMA ANUAL DE ADQUISICIONES 2020, CORRESPONDIENTE A LA DIRECCIÓN DE APOYO A LA VINCULACIÓN",04/01/2021 22:02,04/01/2021 22:02
5,4,2020-005,21014001A000000/0007/2020,13/01/2020,"SOLICITA REMITIR EL PROYECTO DEL PROGRAMA OPERATIVO ANUAL 2020, CORRESPONDIENTE A LA DIRECCIÓN DE APOYO A LA VINCULACIÓN ",05/01/2021 22:02,05/01/2021 22:02
6,5,s/n,TESC/205Ñ101000/SV/001/20,13/01/2020,"EN EL MARCO DEL PROGRAMA BECAS VIAJES AL EXTRANJERO, REMITE EL FORMATO UNIVERSAL DE PAGO, BAJO EL CONCEPTO ""DEVOLUCIÓN DE SUELDOS O SALARIOS GRATIFICACIÓN"", ASÍ COMO COMPROBANTE DE PAGO REALIZADO POR EL ESTUDIANTE BULMARO DOMÍNGUEZ TÉLLEZ",06/01/2021 22:02,06/01/2021 22:02
7,3,2020-006,2101400200000l/0042/2020,15/01/2020,"EN EL MARCO DEL PROGRAMA BECAS VIAJES AL EXTRANJERO, INFORMA QUE SE REALIZÓ LA TRANSFERENCIA BANCARIA POR CONCEPTO DE ESTANCIA ACADÉMICA DE 25 ESTUDIANTES, QUE VIAJARÁN A LA UNIVERSIDAD POLITÉCNICA DE MADRID, ESPAÑA ",07/01/2021 22:02,07/01/2021 22:02
8,3,2020-007,21014002000000L/0043/2020,15/01/2020,"EN EL MARCO DEL PROGRAMA PROYECTA ESTADO DE MÉXICO, INFORMA QUE FUERÓN REALIZADAS LAS TRANSFERENCIAS BANCARIAS CORRESPONDIENTES A LAS INSTITUCIONES EDUCATIVAS EN CANADÁ",08/01/2021 22:02,08/01/2021 22:02
9,6,s/n,21013001l/058/2020,17/01/2020,"EN EL MARCO DE LA AUDITORÍA ADMINISTRATIVA DE OPERACIONES DE LA UNIDAD DE SERVICIO SOCIAL, REMITE RESPUESTA PARA EL DESAHOGO DE LA CÉDULA DE OBSERVACIONES CORRESPONDIENTE",09/01/2021 22:02,09/01/2021 22:02
10,7,2020-008,21014002000001L/0037/2020,17/01/2020,"EN EL MARCO DEL PROGRAMA BECAS VIAJES AL EXTRANJERO, INFORMA QUE SE REALIZÓ LA TRANSFERENCIA BANCARIA, A LA C. DOMÍNGUEZ PÉREZ LUCERO GUADALUPE, ESTUDIANTE BECADA PARA VIAJAR A LA UNIVERSIDAD POLITÉCNICA DE MADRID,  ESPAÑA",10/01/2021 22:02,10/01/2021 22:02
11,8,2020-009,SESYN/050/2020,17/01/2020,"REMITE LA PROPUESTA DE LOS PROGRAMAS BECAS FAMILIAS FUERTES POR LA EDUCACIÓN Y BECAS PROYECTA ESTADO DE MÉXICO, SUSCRITA POR EL MTRO. MARCOS PALAFOX MARTÍNEZ, SECRETARIO TÉCNICO DE LA SECRETARÍA DE EDUCACIÓN ",11/01/2021 22:02,11/01/2021 22:02
12,9,s/n,210C27010000000/024/20,17/01/2020,REMITE CD CON EL FORMATO DEL SEGUIMIENTO DE LOS CONVENIOS SUSCRITOS ENTRE LA INSTITUCIÓN EDUCATIVA Y LOS DIFERENTES SECTORES,12/01/2021 22:02,12/01/2021 22:02
13,10,s/n,CORREO ELECTRÓNICO ,17/01/2020,REMITE DE MANERA ADJUNTA EL FORMATO DEL SEGUIMIENTO DE LOS CONVENIOS SUSCRITOS ENTRE LA INSTITUCIÓN EDUCATIVA Y LOS DIFERENTES SECTORES,13/01/2021 22:02,13/01/2021 22:02
14,11,s/n,205T10000/025.01/2020,20/01/2020,REMITE CD CON EL FORMATO DEL SEGUIMIENTO DE LOS CONVENIOS SUSCRITOS ENTRE LA INSTITUCIÓN EDUCATIVA Y LOS DIFERENTES SECTORES,14/01/2021 22:02,14/01/2021 22:02
15,12,s/n,210C/06010C/023/2020,20/01/2020,REMITE CD CON EL FORMATO DEL SEGUIMIENTO DE LOS CONVENIOS SUSCRITOS ENTRE LA INSTITUCIÓN EDUCATIVA Y LOS DIFERENTES SECTORES,15/01/2021 22:02,15/01/2021 22:02
16,13,s/n,210C2301000100L/005/2020,20/01/2020,REMITE CD CON EL FORMATO DEL SEGUIMIENTO DE LOS CONVENIOS SUSCRITOS ENTRE LA INSTITUCIÓN EDUCATIVA Y LOS DIFERENTES SECTORES,16/01/2021 22:02,16/01/2021 22:02
17,14,s/n,CORREO ELECTRÓNICO ,20/01/2020,REMITE DE MANERA ADJUNTA EL FORMATO DEL SEGUIMIENTO DE LOS CONVENIOS SUSCRITOS ENTRE LA INSTITUCIÓN EDUCATIVA Y LOS DIFERENTES SECTORES,17/01/2021 22:02,17/01/2021 22:02
18,15,s/n,CORREO ELECTRÓNICO ,20/01/2020,REMITE DE MANERA ADJUNTA EL FORMATO DEL SEGUIMIENTO DE LOS CONVENIOS SUSCRITOS ENTRE LA INSTITUCIÓN EDUCATIVA Y LOS DIFERENTES SECTORES,18/01/2021 22:02,18/01/2021 22:02
